Date,rDIS,rDIS_ex,rM_ex,rSmB,rHmL,rRmW,rCmA,rf,MoM
1/5/2003,0.053054853,0.052154853,0.0605,0.0483,-0.0029,-0.0692,0.0322,0.0009,-0.1077
1/4/2003,0.096357297,0.095357297,0.0822,0.0106,0.0103,-0.0457,0.0114,0.001,-0.0946
1/3/2003,-0.002344776,-0.003344776,0.0109,0.0055,-0.0208,0.018,-0.0069,0.001,0.0161
1/2/2003,-0.025142759,-0.026042759,-0.0188,-0.0089,-0.0145,0.0104,-0.0055,0.0009,0.0125
1/1/2003,0.086535095,0.085535095,-0.0257,0.0081,-0.0093,-0.0063,0.0081,0.001,0.0161
1/12/2002,-0.177093729,-0.178193729,-0.0576,0.005,0.0223,0.0604,-0.0159,0.0011,0.0964
1/11/2002,0.186826153,0.185626153,0.0596,0.029,-0.0112,-0.0913,0.0512,0.0012,-0.1617
1/10/2002,0.103038329,0.101638329,0.0784,-0.0412,-0.0545,-0.0328,0.0092,0.0014,-0.053
1/9/2002,-0.034438731,-0.035838731,-0.1035,0.0307,0.0132,0.0324,-0.0228,0.0014,0.0909
1/8/2002,-0.115623282,-0.117023282,0.005,-0.0127,0.0252,0.0115,-0.0161,0.0014,0.0176
1/7/2002,-0.06190482,-0.06340482,-0.0818,-0.0624,-0.0344,0.0419,-0.0072,0.0015,0.0334
1/6/2002,-0.17503269,-0.17633269,-0.0721,0.0378,0.0012,0.0362,0.0251,0.0013,0.0615
1/5/2002,-0.011648199,-0.013048199,-0.0138,-0.0307,0.0168,0.0227,0.0242,0.0014,0.0297
1/4/2002,0.004332924,0.002832924,-0.052,0.0666,0.0392,0.0457,0.0541,0.0015,0.0795
1/3/2002,0.003478154,0.002178154,0.0424,0.0428,0.011,-0.0136,0.0061,0.0013,-0.0166
1/2/2002,0.092117907,0.090817907,-0.0229,-0.0046,0.025,0.0762,0.0512,0.0013,0.0676
1/1/2002,0.027343756,0.025943756,-0.0144,0.0119,0.0333,0.0435,0.0284,0.0014,0.0368
1/12/2001,0.012213074,0.010713074,0.0161,0.0514,0.011,0.003,-0.0029,0.0015,-0.0002
1/11/2001,0.101129731,0.099429731,0.0754,-0.003,0.0201,-0.0376,-0.0166,0.0017,-0.0858
1/10/2001,-0.001611154,-0.003811154,0.0246,0.0542,-0.081,-0.0266,-0.0464,0.0022,-0.0841
1/9/2001,-0.267793817,-0.270593817,-0.0925,-0.0569,0.016,0.0496,0.0327,0.0028,0.1154
1/8/2001,-0.034914719,-0.038014719,-0.0646,0.0273,0.0251,0.0395,0.065,0.0031,0.0554
1/7/2001,-0.087919901,-0.090919901,-0.0213,-0.0291,0.0557,0.0716,0.0301,0.003,0.0547
1/6/2001,-0.086337555,-0.089137555,-0.0194,0.0661,-0.0103,0.0203,-0.018,0.0028,0.0034
1/5/2001,0.045289017,0.042089017,0.0072,0.0358,0.0318,0.0018,0.0218,0.0032,0.0212
1/4/2001,0.057692513,0.053792513,0.0794,-0.0063,-0.0472,-0.0272,-0.0395,0.0039,-0.0797
1/3/2001,-0.075928889,-0.080128889,-0.0726,0.0232,0.0646,0.034,0.0393,0.0042,0.0835
1/2/2001,0.016420345,0.012620345,-0.1005,0.0266,0.1287,0.09,0.0956,0.0038,0.1251
1/1/2001,0.059618128,0.054218128,0.0313,0.058,-0.0486,-0.0444,-0.0655,0.0054,-0.2505
1/12/2000,0,-0.005,0.0119,0.0317,0.0737,0.0185,0.0567,0.005,0.067
1/11/2000,-0.191971986,-0.197071986,-0.1072,-0.0046,0.1126,0.1333,0.0851,0.0051,-0.024
1/10/2000,-0.063725614,-0.069325614,-0.0276,-0.0283,0.0564,0.0966,0.0468,0.0056,-0.0463
1/9/2000,-0.018050636,-0.023150636,-0.0545,0.0023,0.0613,0.0308,0.0643,0.0051,0.022
1/8/2000,0.010130005,0.005130005,0.0703,-0.011,-0.0066,-0.0307,0.0061,0.005,0.057
1/7/2000,-0.0064414,-0.0112414,-0.0251,-0.0095,0.0806,0.06,0.0299,0.0048,-0.0011
1/6/2000,-0.080000049,-0.084000049,0.0464,0.1039,-0.0986,-0.0683,-0.0307,0.004,0.1659
1/5/2000,-0.032951304,-0.037951304,-0.0442,-0.0368,0.0256,0.0463,0.0074,0.005,-0.0908
